seconds,heap_bytes,temp_bytes
0,19234688,0
1,20283264,153223168
2,20283264,300000000
3,20283264,339638218
4,20283264,384030998
5,20283264,428038394
6,20283264,471285311
7,20283264,515299886
8,20283264,559340738
9,21331840,309004468
10,21331840,463407284
11,21331840,600091572
12,21331840,643311742
13,21331840,686811594
14,21331840,730442158
15,21331840,773966579
16,21331840,817916642
17,21331840,861727606
18,21331840,617353576
19,21331840,771625320
20,21331840,900724881
21,21331840,944354098
22,21331840,987214462
23,21331840,1030271074
24,21331840,1073423783
25,21331840,1116696470
26,21331840,1159540266
27,21331840,907745820
28,21331840,1063524892
29,21331840,1200274716
30,21331840,1241894374
31,21331840,1284945202
32,21331840,1327933718
33,21331840,1370578523
34,21331840,1411130954
35,21331840,1453794679
36,21331840,1496913438
37,21331840,1342055120
38,21331840,1497899728
39,21331840,1535602169
40,21331840,1578740198
41,21331840,1622223306
42,21331840,1665066767
43,21331840,1708468478
43,21331840,1751524907
45,21331840,1795254482
46,21331840,1634478980
47,21331840,1790716804
48,21331840,1833709229
49,21331840,1876683930
50,21331840,1920035966
51,21331840,1963059651
52,21331840,2006460850
53,21331840,2050140895
54,21331840,2093640582
55,22380416,1929589816
56,22380416,2086417464
57,22380416,2133177697
58,22380416,2176250702
59,22380416,2219946802
60,23428992,2263446647
61,23428992,2307470950
62,23428992,2350527891
63,23428992,2394158650
64,23428992,2232630508
64,23428992,2387819756
66,23428992,2433268245
67,23428992,2476792322
68,23428992,2520481254
69,23428992,2563898667
70,23428992,2606923034
71,23428992,2650029127
72,23428992,2694015214
73,23428992,2530493856
74,23428992,2684962208
75,23428992,2732836041
76,23428992,2776581814
77,23428992,2820129946
78,23428992,2863104991
79,23428992,2906227662
80,23428992,2949120251
81,23428992,2992636514
82,23428992,2825080404
83,23428992,2980728404
84,23428992,3031831422
85,23428992,3075410795
86,23428992,3118336335
87,23428992,3161573524
88,23428992,3204620931
89,23428992,3248146352
90,23428992,3291071767
91,23428992,3119208201
92,23428992,3276429065
93,23428992,3330281011
94,23428992,3372928212
95,23428992,3416214020
96,23428992,3459352905
96,23428992,3502278456
98,23428992,3545516133
99,23428992,3588835276
100,23428992,3413139390
101,23428992,3568525246
102,23428992,3628208360
103,23428992,3671330697
104,23428992,3714715321
105,23428992,3757706750
106,23428992,3801009133
107,23428992,3844295962
108,23428992,3887336577
109,23428992,3706546291
110,23428992,3873335411
111,23428992,3929742749
112,23428992,3972485694
113,23428992,4013396846
114,23428992,4055420595
114,23428992,4097510050
116,23428992,4140042191
117,23428992,4182915382
118,23428992,3988943144
118,23428992,4148982056
120,23428992,4222882386
121,23428992,4266070259
122,23428992,4308766271
123,23428992,4351741288
124,23428992,4394879831
124,23428992,4437740164
126,23428992,4481199083
126,23428992,4281170397
128,23428992,4441733597
128,23428992,4520793351
129,23428992,4563915688
130,23428992,4606578932
132,23428992,4649593885
132,23428992,4692249612
133,23428992,4735382841
134,23428992,4777856160
136,23428992,4571759250
137,23428992,4727210642
138,23428992,4816622012
138,23428992,4858284637
139,23428992,4901620649
140,23428992,4944768909
141,23428992,4987914433
143,23428992,5030905838
144,23428992,5073880405
144,23428992,4856449863
146,23428992,5012949831
146,23428992,5112335473
148,23428992,5155572498
148,23428992,5198498910
150,23428992,5241866818
150,23428992,5284283783
152,23428992,5327266467
153,23428992,5370118666
154,23428992,5143237628
154,23428992,5297771516
155,23428992,5408320806
156,23428992,5451325383
157,23428992,5494397715
158,23428992,5537362679
160,23428992,5580134460
161,23428992,5622873944
162,23428992,5665898175
162,23428992,5426486449
164,23428992,5581216945
165,23428992,5704107483
165,23428992,5746803324
166,23428992,5789893064
167,23428992,5832785836
168,23428992,5875580145
170,23428992,5918923488
170,23428992,5962021748
171,23428992,5712553318
173,23428992,5867414886
173,23428992,6001739878
175,23428992,6043484465
175,23428992,6086377597
176,23428992,6129696353
178,23428992,6173310886
178,23428992,6216285589
180,23428992,6259720233
180,24477568,6001833141
181,24477568,6001833141
182,24477568,6001833141
184,24477568,6001833141
185,24477568,6001833141
186,24477568,6001833141
187,24477568,6001833141
188,24477568,6001833141
189,24477568,6001833141
189,25526144,6001833141
190,25526144,6001833141
191,25526144,6001833141
193,25526144,0
